cod_cliente,cnpj,holding,nome_cliente,id_gerente_area,gerente_area,cidterritory,vendedor,endereco,uf,cidade,lat,long,estrelas_batalhas,estrelas_espaco_em_loja,estrelas_inovacao,estrelas_ponto_extra,estrelas_preco,estrelas_sortimento_prioritario,estrelas_total,sellout_ton_ytd,trend_l6m
100083945,7705530000508,REDE NAGUMO,MIXTER AT E VJO DE GEN ALIM LTDA,02020300,GUSTAVO OLIVEIRA,02020308,FELIPE ARAUJO,"R AVESTRUZ,688, OSASCO, SP, 06280-160, Brasil",SP,OSASCO,-23.509795,-46.7670318,0.5,,0.5,1.0,0.5,1.0,3.5,,
100085829,7705530000427,REDE NAGUMO,MIXTER AT E VJO DE GEN ALIM LTDA,02020300,GUSTAVO OLIVEIRA,02020308,FELIPE ARAUJO,"AV AMANCIO GAIOLLI,270, GUARULHOS, SP, 07251-250, Brasil",SP,GUARULHOS,-23.4251479,-46.3971557,,,,,,,,853.34935888,3.0764566497142756
100086389,20276483000320,REDE SHIBATA,SHIBATA COM E ATAC DE PR EMGER LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"R ANDORRA,500, SAO JOSE DOS CAMPOS, SP, 12235-050, Brasil",SP,SAO JOSE DOS CAMPOS,-23.2366378,-45.8976932,,1.0,,,,,1.0,40.14429487,0.014251379714285589
100087234,45495694002329,REDE SAO ROQUE,SUPER MERCADO SAO ROQUE LTDA,02020300,GUSTAVO OLIVEIRA,02020308,FELIPE ARAUJO,"R TEOFILO ANDRADE GAMA,1328, TATUI, SP, 18275-630, Brasil",SP,TATUI,-23.3633443,-47.8488178,,1.0,,,,,1.0,9.5637654,0.04446582971428568
100088625,7705530000770,REDE NAGUMO,MIXTER AT E VJO DE GEN ALIM LTDA,02020300,GUSTAVO OLIVEIRA,02020308,FELIPE ARAUJO,"EST MUNICIPAL DO MANDI,1205, ITAQUAQUECETUBA, SP, 08596-000, Brasil",SP,ITAQUAQUECETUBA,-23.4752886,-46.3261555,,1.0,,,,,1.0,,
100092086,7705530000699,REDE NAGUMO,MIXTER AT E VJO DE GEN ALIM LTDA,02020300,GUSTAVO OLIVEIRA,02020308,FELIPE ARAUJO,"AV CEL JOSE VICENTE,312, LORENA, SP, 12608-000, Brasil",SP,LORENA,-22.7348785,-45.1251373,0.5,,0.5,1.0,1.0,1.0,4.0,,
100093992,20276483000401,REDE SHIBATA,SHIBATA COM ATAC PROD GERAL LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"R CAMPOS SALES,690, SUZANO, SP, 08674-020, Brasil",SP,SUZANO,-23.5363763,-46.3066644,,1.0,,,,,1.0,13.29881638,0.04829115485714283
100094414,7705530000850,REDE NAGUMO,MIXTER AT E VJO DE GEN ALIM LTDA,02020300,GUSTAVO OLIVEIRA,02020308,FELIPE ARAUJO,"EST PRES JUSC KUB DE OLIV,408, GUARULHOS, SP, 07260-000, Brasil",SP,GUARULHOS,-23.454444,-46.3968,0.5,,0.5,1.0,0.5,1.0,3.5,,
100095134,4063469000554,REDE ESTRELA DE,COM KEYPAR REPRES E SUPERM LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"AV ARMANDO COLANGELO,173, ARUJA, SP, 07401-070, Brasil",SP,ARUJA,-23.3948257,-46.3299391,,1.0,,,,,1.0,17.9772003,-0.006440041999999853
100095217,50948371001301,IRMAOS BOA,IRMAOS BOA LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"R CEL NOGUEIRA PADILHA,2112, SOROCABA, SP, 18020-003, Brasil",SP,SOROCABA,-23.5119307,-47.4338388,,1.0,,,,,1.0,9.59286185,0.011179968857142853
