cnpj,cod_cliente,cidcustomer,nome_cliente,vendedor,cidterritory,endereco,lat,long,uf,cidade,gerente_area,estrelas_batalhas,estrelas_espaco_em_loja,estrelas_inovacao,estrelas_ponto_extra,estrelas_preco,estrelas_sortimento_prioritario,estrelas_total,estrelas_total_eff,has_stars,star_need_abs,sellout_ton_ytd,s_sell12,trend_l6m,trend_need,s_trend,score,tem_estrelas,prioritario
3476811083340,100137134,100137134,DIA BRASIL SOCIEDADE LIMITADA,SERGIO PASTORI,2020303,"AV INDIANOPOLIS,2010, SAO PAULO, SP, 04062-002, Brasil",-23.616414,-46.6494516,SP,SAO PAULO,GUSTAVO OLIVEIRA,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,0,0
3476811083421,100137131,100137131,DIA BRASIL SOCIEDADE LIMITADA,SERGIO PASTORI,2020303,"R DOMINGOS DE MORAIS,201, SAO PAULO, SP, 04009-000, Brasil",-23.5789252,-46.6407078,SP,SAO PAULO,GUSTAVO OLIVEIRA,,,,,,,,,0.0,0.0,1.25554209,0.24493079653287103,0.0201694582857142,-0.0201694582857142,0.7354543020612191,0.24287492773683317,0,0
3476811083502,100133825,100133825,DIA BRASIL SOCIEDADE LIMITADA,SERGIO PASTORI,2020303,"AV ENG ANTONIO F PAULA SOUZA,1961, CAMPINAS, SP, 13045-541, Brasil",-22.9455,-47.02979999999999,SP,CAMPINAS,GUSTAVO OLIVEIRA,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,0,0
3476811083693,100133735,100133735,DIA BRASIL SOCIEDADE LIMITADA,SERGIO PASTORI,2020303,"R BERNARDINO DE CAMPOS,27, SANTO ANDRE, SP, 09015-010, Brasil",-23.6537583,-46.5274067,SP,SANTO ANDRE,GUSTAVO OLIVEIRA,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,0,0
3476811083774,100137130,100137130,DIA BRASIL SOCIEDADE LIMITADA,SERGIO PASTORI,2020303,"R DR MARIO FERRAZ,586, SAO PAULO, SP, 01453-011, Brasil",-23.585484,-46.6852052,SP,SAO PAULO,GUSTAVO OLIVEIRA,,,,,,,,,0.0,0.0,2.69983728,0.39630111239511373,0.025200944,-0.025200944,0.7243913350001664,0.2839135040159723,0,0
3476811083855,100133820,100133820,DIA BRASIL SOCIEDADE LIMITADA,SERGIO PASTORI,2020303,"EST TEN JOSE MARIA DA CUNHA,266, TABOAO DA SERRA, SP, 06783-230, Brasil",-23.6263904,-46.7897656,SP,TABOAO DA SERRA,GUSTAVO OLIVEIRA,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,0,0
3476811084150,100137133,100137133,DIA BRASIL SOCIEDADE LIMITADA,SERGIO PASTORI,2020303,"R TRAJANO,102, SAO PAULO, SP, 05050-110, Brasil",-23.5214365,-46.7018877,SP,SAO PAULO,GUSTAVO OLIVEIRA,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,0,0
3476811084312,100137132,100137132,DIA BRASIL SOCIEDADE LIMITADA,SERGIO PASTORI,2020303,"R PEDRO GARCIA DIAS,463, POTIRENDABA, SP, 15105-000, Brasil",-21.0423069,-49.380054,SP,POTIRENDABA,GUSTAVO OLIVEIRA,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,0,0
3476811084401,100137126,100137126,DIA BRASIL SOCIEDADE LIMITADA,SERGIO PASTORI,2020303,"AV ENG CAETANO ALVARES,4425, SAO PAULO, SP, 02413-000, Brasil",-23.4866991,-46.6454839,SP,SAO PAULO,GUSTAVO OLIVEIRA,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,0,0
3476811084584,100137125,100137125,DIA BRASIL SOCIEDADE LIMITADA,SERGIO PASTORI,2020303,"R ALTINO ARANTES,1218, NOVO HORIZONTE, SP, 14960-000, Brasil",-21.4719416,-49.22581539999999,SP,NOVO HORIZONTE,GUSTAVO OLIVEIRA,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,0,0
